ranch,domain,year,application date,,material,gallons,nitrogenLBS,phosphorousLBS,potassiumLBS,calciumLBS,magnesiumLBS,sulfur
phelps,fertilizer,2020,2020/10/3,potassium,2-0-12-2-11,300,65.052,0.00,390.31,65.052,357.79,0.00
phelps,fertilizer,2020,2020/9/12,nitrogen,18-3-3-2,200,370.50,61.75,61.75,41.17,0.00,0.00
phelps,fertilizer,2020,2020/8/22,potassium,2-0-12-2-11,300,65.052,0.00,390.31,65.052,357.79,0.00
phelps,fertilizer,2020,2020/7/25,nitrogen,18-3-3-2,200,370.50,61.75,61.75,41.17,0.00,0.00
phelps,fertilizer,2020,2020/7/4,potassium,2-0-12-2-11,300,65.052,0.00,390.31,65.052,357.79,0.00
phelps,fertilizer,2020,2020/6/13,nitrogen,18-3-3-2,200,370.50,61.75,61.75,41.17,0.00,0.00
phelps,fertilizer,2020,2020/5/16,humega,humega,750,,,,,,
phelps,fertilizer,2019,2019/8/3,nitrogen,18-3-3-2,450,833.62,138.94,138.94,92.62,0.00,0.00
phelps,fertilizer,2019,2019/6/29,potassium,2-0-12-2-11,900,195.16,0.00,"1,170.94",195.16,"1,073.36",0.00
phelps,fertilizer,2019,2019/5/4,humega,humega,750,,,,,,
phelps,fertilizer,2018,2018/5/5,humega,humega,500,,,,,,
phelps,fertilizer,2018,2018/6/30,nitrogen,18-3-3-2,300,555.74,92.62,92.62,61.75,0.00,0.00
phelps,fertilizer,2018,2018/6/2,potassium,2-0-12-2-11,600,130.1,0.00,780.62,130.1,715.57,0.00
phelps,fertilizer,2017,2017/6/1,nitrogen,18-3-3-2,0,0.00,0.00,0.00,0.00,0.00,0.00
phelps,fertilizer,2017,2017/6/1,potassium,2-0-12-2-11,0,0.00,0.00,0.00,0.00,0.00,0.00
phelps,fertilizer,2017,2017/6/1,humega,humega,0,,,,,,
phelps,fertilizer,2016,2016/3/5,humega,humega,250,,,,,,
phelps,fertilizer,2016,2016/3/26,humega,humega,250,,,,,,
phelps,fertilizer,2016,2016/4/16,humega,humega,500,,,,,,
phelps,fertilizer,2016,2016/5/21,nitrogen,18-3-3-2,300,555.74,92.62,92.62,61.75,0.00,0.00
phelps,fertilizer,2016,2016/6/18,potassium,2-0-12-2-11,400,86.74,0.00,520.42,86.74,477.05,0.00
phelps,fertilizer,2016,2016/7/9,potassium,2-0-12-2-11,400,86.74,0.00,520.42,86.74,477.05,0.00
phelps,fertilizer,2016,2016/7/30,nitrogen,18-3-3-2,300,555.74,92.62,92.62,61.75,0.00,0.00
phelps,fertilizer,2016,2016/9/3,potassium,2-0-12-2-11,400,86.74,0.00,520.42,86.74,477.05,0.00
phelps,fertilizer,2015,2015/4/11,humega,humega,1000,,,,,,
phelps,fertilizer,2015,2015/6/13,nitrogen,18-3-3-2,330,611.32,101.89,101.89,67.92,0.00,0.00
phelps,fertilizer,2015,2015/8/15,nitrogen,18-3-3-2,330,611.32,101.89,101.89,67.92,0.00,0.00
phelps,fertilizer,2015,2015/7/18,potassium,2-0-12-2-11,1000,216.84,0.00,"1,301.04",216.84,"1,192.62",0.00
phelps,fertilizer,2014,2014/4/6,humega,humega,1000,,,,,,
phelps,fertilizer,2014,2014/4/27,nitrogen,18-3-3-2,332,615.02,102.50,102.50,68.34,0.00,0.00
phelps,fertilizer,2014,2014/6/8,potassium,2-0-12-2-11,1000,216.84,0.00,"1,301.04",216.84,"1,192.62",0.00
phelps,fertilizer,2014,2014/7/27,nitrogen,18-3-3-2,335,620.58,103.43,103.43,68.95,0.00,0.00
phelps,fertilizer,2013,2013/4/19,humega,humega,1000,,,,,,0.00
phelps,fertilizer,2013,2013/6/21,potassium,2-0-12-2-11,1000,216.84,0.00,"1,301.04",216.84,"1,192.62",0.00
phelps,fertilizer,2013,2013/9/8,nitrogen,18-3-3-2,223,413.1,68.85,68.85,45.9,0.00,0.00
phelps,fertilizer,2013,2013/8/9,nitrogen,18-3-3-2,223,413.1,68.85,68.85,45.9,0.00,0.00
phelps,fertilizer,2012,2012/5/25,humega,humega,1000,,,,,,
phelps,fertilizer,2012,2012/7/13,potassium,2-0-12-2-11,1100,,,,,,
phelps,fertilizer,2012,2012/9/7,nitrogen,18-3-3-2,200,370.5,61.75,61.75,41.17,0.00,0.00
phelps,fertilizer,2012,2012/9/28,nitrogen,18-3-3-2,200,370.5,61.75,61.75,41.17,0.00,0.00
phelps,fertilizer,2011,2011/5/16,humega,humega,1000,,,,,,
phelps,fertilizer,2011,2011/6/27,potassium,2-0-12-2-11,1000,216.84,0.00,"1,301.04",216.84,"1,192.62",0.00
phelps,fertilizer,2011,2011/8/22,nitrogen,18-3-3-2,230,426.07,71.01,71.01,47.34,0.00,0.00
phelps,fertilizer,2010,2010/5/10,humega,humega,1000,,,,,,
phelps,fertilizer,2010,2010/7/26,potassium,2-0-12-2-11,1000,216.84,0.00,"1,301.04",216.84,"1,192.62",0.00
phelps,fertilizer,2010,2010/9/27,nitrogen,18-3-3-2,400,740.99,123.50,123.50,82.33,0.00,0.00